Spawning 4 workers for 500 images.
/root/lambda-patterns-instance/generate_synthetic_v5.py:1130: DeprecationWarning: 'mode' parameter is deprecated and will be removed in Pillow 13 (2026-10-15)
  return Image.fromarray(arr, mode='RGB')
/root/lambda-patterns-instance/generate_synthetic_v5.py:1130: DeprecationWarning: 'mode' parameter is deprecated and will be removed in Pillow 13 (2026-10-15)
  return Image.fromarray(arr, mode='RGB')
/root/lambda-patterns-instance/generate_synthetic_v5.py:1130: DeprecationWarning: 'mode' parameter is deprecated and will be removed in Pillow 13 (2026-10-15)
  return Image.fromarray(arr, mode='RGB')
/root/lambda-patterns-instance/generate_synthetic_v5.py:1130: DeprecationWarning: 'mode' parameter is deprecated and will be removed in Pillow 13 (2026-10-15)
  return Image.fromarray(arr, mode='RGB')
[218/500] synth_000213.png  (1854, 1043)  anns=12  rate=0.53img/s  eta=8.9min
[219/500] synth_000214.png  (4162, 2161)  anns=17  rate=0.53img/s  eta=8.8min
[220/500] synth_000215.png  (3146, 1092)  anns=7  rate=0.53img/s  eta=8.8min
[221/500] synth_000228.png  (1707, 1221)  anns=7  rate=0.51img/s  eta=9.0min
[222/500] synth_000229.png  (1915, 1015)  anns=6  rate=0.52img/s  eta=9.0min
[223/500] synth_000230.png  (2982, 1162)  anns=12  rate=0.52img/s  eta=8.9min
[224/500] synth_000231.png  (4967, 1476)  anns=13  rate=0.52img/s  eta=8.8min
[225/500] synth_000232.png  (1429, 1139)  anns=8  rate=0.52img/s  eta=8.8min
[226/500] synth_000233.png  (3381, 1200)  anns=10  rate=0.52img/s  eta=8.7min
[227/500] synth_000234.png  (1406, 1138)  anns=10  rate=0.53img/s  eta=8.6min
[228/500] synth_000235.png  (1926, 1110)  anns=14  rate=0.53img/s  eta=8.6min
[229/500] synth_000224.png  (2646, 1251)  anns=14  rate=0.52img/s  eta=8.6min
[230/500] synth_000225.png  (3985, 1461)  anns=8  rate=0.52img/s  eta=8.6min
[231/500] synth_000226.png  (1653, 927)  anns=10  rate=0.53img/s  eta=8.5min
[232/500] synth_000227.png  (3813, 2374)  anns=21  rate=0.53img/s  eta=8.4min
[233/500] synth_000220.png  (1400, 1101)  anns=9  rate=0.52img/s  eta=8.5min
[234/500] synth_000221.png  (4725, 2871)  anns=70  rate=0.52img/s  eta=8.5min
[235/500] synth_000222.png  (2117, 946)  anns=6  rate=0.52img/s  eta=8.4min
[236/500] synth_000223.png  (4059, 2483)  anns=23  rate=0.53img/s  eta=8.3min
[237/500] synth_000236.png  (2078, 966)  anns=4  rate=0.53img/s  eta=8.3min
[238/500] synth_000237.png  (2672, 1987)  anns=29  rate=0.53img/s  eta=8.3min
[239/500] synth_000238.png  (2130, 944)  anns=4  rate=0.53img/s  eta=8.2min
[240/500] synth_000239.png  (3718, 1478)  anns=11  rate=0.53img/s  eta=8.1min
[241/500] synth_000240.png  (3810, 1775)  anns=24  rate=0.52img/s  eta=8.3min
[242/500] synth_000241.png  (3152, 1166)  anns=16  rate=0.52img/s  eta=8.3min
[243/500] synth_000242.png  (1400, 1046)  anns=8  rate=0.52img/s  eta=8.2min
[244/500] synth_000243.png  (2911, 1707)  anns=19  rate=0.53img/s  eta=8.1min
[245/500] synth_000244.png  (1400, 1067)  anns=10  rate=0.52img/s  eta=8.1min
[246/500] synth_000245.png  (1647, 1082)  anns=13  rate=0.53img/s  eta=8.0min
[247/500] synth_000246.png  (2998, 1002)  anns=13  rate=0.53img/s  eta=8.0min
[248/500] synth_000247.png  (1533, 1075)  anns=10  rate=0.53img/s  eta=7.9min
[249/500] synth_000248.png  (1725, 1064)  anns=10  rate=0.53img/s  eta=7.9min
[250/500] synth_000249.png  (1400, 1104)  anns=10  rate=0.53img/s  eta=7.8min
[251/500] synth_000250.png  (1714, 1039)  anns=13  rate=0.53img/s  eta=7.8min
[252/500] synth_000251.png  (2688, 1769)  anns=22  rate=0.54img/s  eta=7.7min
[253/500] synth_000252.png  (1936, 1142)  anns=8  rate=0.52img/s  eta=7.9min
[254/500] synth_000253.png  (1544, 1114)  anns=11  rate=0.53img/s  eta=7.8min
[255/500] synth_000254.png  (3133, 2451)  anns=18  rate=0.53img/s  eta=7.7min
[256/500] synth_000255.png  (2483, 2613)  anns=13  rate=0.53img/s  eta=7.7min
[257/500] synth_000256.png  (1400, 1123)  anns=11  rate=0.53img/s  eta=7.6min
[258/500] synth_000257.png  (1766, 1049)  anns=2  rate=0.53img/s  eta=7.6min
[259/500] synth_000258.png  (1739, 1019)  anns=14  rate=0.53img/s  eta=7.5min
